case_id,shape,dice_pancreas,iou_pancreas,dice_tumor,iou_tumor,pred_tumor_voxels,true_tumor_voxels,has_tumor_true,has_tumor_pred
case_0193.nii,"[512, 512, 83]",1.0,1.0,1.0,1.0,5280,5280,True,True
case_0194.nii,"[512, 512, 85]",1.0,1.0,1.0,1.0,2182,2182,True,True
case_0195.nii,"[512, 512, 83]",1.0,1.0,1.0,1.0,1024,1024,True,True
case_0196.nii,"[512, 512, 83]",1.0,1.0,1.0,1.0,1624,1624,True,True
case_0197.nii,"[512, 512, 113]",1.0,1.0,1.0,1.0,1172,1172,True,True
case_0198.nii,"[512, 512, 93]",1.0,1.0,1.0,1.0,872,872,True,True
case_0199.nii,"[512, 512, 73]",1.0,1.0,1.0,1.0,1252,1252,True,True
case_0200.nii,"[512, 512, 113]",1.0,1.0,1.0,1.0,880,880,True,True
case_0201.nii,"[512, 512, 95]",1.0,1.0,1.0,1.0,5093,5093,True,True
case_0202.nii,"[512, 512, 81]",1.0,1.0,1.0,1.0,1731,1731,True,True
case_0203.nii,"[512, 512, 87]",1.0,1.0,1.0,1.0,5039,5039,True,True
case_0204.nii,"[512, 512, 75]",1.0,1.0,1.0,1.0,1729,1729,True,True
case_0205.nii,"[512, 512, 95]",1.0,1.0,1.0,1.0,2008,2008,True,True
case_0206.nii,"[512, 512, 93]",1.0,1.0,1.0,1.0,3262,3262,True,True
case_0207.nii,"[512, 512, 89]",1.0,1.0,1.0,1.0,1099,1099,True,True
case_0208.nii,"[512, 512, 105]",1.0,1.0,1.0,1.0,407,407,True,True
case_0209.nii,"[512, 512, 91]",1.0,1.0,1.0,1.0,2399,2399,True,True
case_0210.nii,"[512, 512, 117]",1.0,1.0,1.0,1.0,433,433,True,True
case_0211.nii,"[512, 512, 95]",1.0,1.0,1.0,1.0,1639,1639,True,True
case_0212.nii,"[512, 512, 93]",1.0,1.0,1.0,1.0,1527,1527,True,True
case_0213.nii,"[512, 512, 89]",1.0,1.0,1.0,1.0,2629,2629,True,True
case_0214.nii,"[512, 512, 99]",1.0,1.0,1.0,1.0,1920,1920,True,True
case_0215.nii,"[512, 512, 95]",1.0,1.0,1.0,1.0,491,491,True,True
case_0216.nii,"[512, 512, 79]",1.0,1.0,1.0,1.0,4183,4183,True,True
case_0217.nii,"[512, 512, 89]",1.0,1.0,1.0,1.0,4549,4549,True,True
case_0218.nii,"[512, 512, 101]",1.0,1.0,1.0,1.0,1940,1940,True,True
case_0219.nii,"[512, 512, 97]",1.0,1.0,1.0,1.0,4784,4784,True,True
case_0220.nii,"[512, 512, 91]",1.0,1.0,1.0,1.0,779,779,True,True
case_0221.nii,"[512, 512, 92]",1.0,1.0,1.0,1.0,2983,2983,True,True
case_0222.nii,"[512, 512, 105]",1.0,1.0,1.0,1.0,1748,1748,True,True
case_0223.nii,"[512, 512, 117]",1.0,1.0,1.0,1.0,1296,1296,True,True
case_0224.nii,"[512, 512, 86]",1.0,1.0,1.0,1.0,632,632,True,True
case_0225.nii,"[512, 512, 112]",1.0,1.0,1.0,1.0,2569,2569,True,True
case_0226.nii,"[512, 512, 84]",1.0,1.0,1.0,1.0,1195,1195,True,True
